question,ground_truth
How long will it take for me to receive compensation for a workplace-related injury?,You may visit this link for information on workplace injury claims https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#:~:text=At%20a%20glance
How often should I update my health status on the FWMOMCare app?,You should update your health status on the FWMOMCare app twice a day.
Am I able to use the FWMOMCare app to schedule medical appointments?,"If you are a migrant worker covered under the Primary Care Plan, you can use the FWMOMCare app to make a doctor's appointment at your designated Medical Centres for Migrant Workers. Alternatively, you can use the app to consult a doctor via the telemedicine service provided as well."
What other ways am I able to submit health reports if I am unable to log in to the FWMOMCare app?,"If your FWMOMCare App is not working, please access telemedicine services directly via your Anchor Operator’s telemedicine provider’s link which can be found using this link - https://www.mom.gov.sg/-/media/mom/documents/work-passes-and-permits/telemedicine-non-pcp.pdf"
I cannot log in to my FWMOMcare app,"You may use the self-help form in the link below for assistance on log in issues
https://form.gov.sg/5ebe02edb561af00110e333a"
How can I check on the status of my work permit?,"You may check your work permit status on the SGworkpass app. You may refer to the link below on how to download and set up the app - https://www.mom.gov.sg/eservices/sgworkpass
Alternatively you may visit the MOM website for more details."
How do I download SGWorkPass to check the validity of my work permit?,"Download the SGWorkPass app to scan the QR code on your work permit card to verify its validity instantly. If your work permit card does not have a QR code, you can use the unique Card Serial Number printed on the front of your card."
How do I check the validity of my work permit on the MOM website?,"You can log on to the MOM website at www.mom.gov.sg/check-wp and follow the following steps below:
Select “Enquire”
Select “Work Permit Validity/Application Status”
Enter your work pass number and your name, then click Next"
What will happen if I breach any work permit condition?,"The following will take place should you breach any work permit condition:
You will be fined or jailed
Your work permit will be cancelled
You will not be allowed to work in Singapore in the future"
Is it mandatory for me to bring my work permit around at all times?,You must carry your original work permit card with you at all times and produce it for inspection when necessary
Can I do other jobs if requested by my employer?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer.
How do I contact emergency help services?,"To contact the police, the number is 999. To contact the fire department or ambulance, the number is 995. https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf "
Where can I go for mental health support and counselling? ,"If you require emotional support or counselling, you can contact the Samaritans of Singapore (SOS) at 1800 2214 444 or HealthServe at 3138 4443. After contacting these non-government organisations, they will arrange a session with you where necessary. https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf
You can also contact ‘SGot Kita, Kabayan’ at 6776 8428. This is a helpline for migrants which provides psycho-emotional support and crisis counselling. https://acmi.org.sg/acmi-and-ugat-foundation-partner-up-to-address-mental-wellness-of-migrants-in-singapore/"
Do I need to pay for mental health counselling? ,"No, the helplines are toll-free and free of charge to any migrant worker who is reaching out for help or assistance. https://hyc.tzuchi.org.sg/spotlight/isolated-but-not-forgotten-how-organisations-are-tackling-the-everlasting-mental-battle-of-migrants/ "
Where are some places I can access support and help?,"You can contact the Migrant Workers’ Centre (MWC) at 6536 2692 if you have concerns about employment. You can contact Samaritans of Singapore (SOS) at 1800 2214 444 if you need help for personal issues, counselling for depression or personal issues. You can contact HealthServe at 3138 4443 if you require medical care, counselling or social assistance.  https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf "
Where do I go if I need access to legal services? ,"If you require legal assistance or services, you can contact the Legal Clinic by Migrant Workers’ Centre (MWC) at 6536 2692. If you need further assistance after contacting them, they will arrange a session to meet with you to address your concerns. https://www.mwc.org.sg/how-we-help/legal-clinic "
Do I need to pay for legal services?,"No, you can seek free basic legal services and information at the Free Legal Clinic. https://www.ntuc.org.sg/uportal/programmes/mwc-free-legal-clinic "
What is the Migrant Workers’ Centre (MWC)?,The Migrant Workers’ Centre (MWC) is a non-governmental organisation whose mission is to champion fair employment practices and the well-being of migrant workers in Singapore. https://www.mwc.org.sg/
What is the Migrant Workers’ Centre helpline? ,You can contact the 24-hour helpline at 6536 2692. https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf 
Can I change my job?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer. 
