question,ground_truth,answer,answer_similarity,answer_correctness
"My employer paid me lesser than expected, when I asked him, he said it was used to pay for my meals. What should I do?",you can report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. Your employer should not be allowed to deduct your salary as per stated in the IPA letter without your consent,"If your employer is deducting money from your salary for costs that are listed in the provided context (such as work pass renewal, security bond, medical insurance, repatriation costs, compulsory training, medical fees, or levy payment), report this to MOM immediately by calling 6438 5122 or approaching their Services Centre at 1500 Bendemeer Road, Singapore 339946. If the deduction is not for any of those costs, you may wish to discuss it with your employer first to understand the reason and find a resolution that suits both parties. However, if you feel uncomfortable or unsure, you can still report it to MOM for their assistance.",0.8658908937887895,0.21647272344719737
"What should I do if I have been involved in a scam?
",You may visit this link for assistance if you believe you may have been involved in a scam: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/publications-and-resources/staying-safe-from-scams,"If you have been involved in a scam, here are some steps you can take:

1. Do not respond to any further communication from the scammers. Ignoring them may prevent them from contacting you again.
2. If they continue to contact you despite your ignoring them, please call the Police at '999' or 1800 255 0000 or inform your employer about the situation.
3. Do not share any personal information such as your name, number, address, bank account details with anyone unless you are sure they are legitimate.
4. If you have shared any sensitive information, contact the relevant authorities to report the incident and take steps to secure your accounts.
5. Keep records of any correspondence or communication related to the scam, as this may be useful for reporting the incident to the appropriate authorities.",0.821965052307142,0.2054912630767855
What are the penalties if I have borrowed money from unlicensed moneylenders?,"""If you have been found to have borrowed money from unlicensed moneylenders, your work permit could be revoked and therefore you will be unable to work in Singapore. The following links contain other relevant legal information regarding the penalties for borrowing money from unlicensed moneylenders: 
https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-11-police-advisory-on-unlicensed-moneylending-borrowers.pdf 

https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-20-3-things-to-tell-your-fdw-about-borrowing-singapore.pdf""","If you borrow from unlicensed moneylenders in Singapore, MOM will be informed about your actions and your work permit will be revoked. This means that you will be sent back home and will not be allowed to work in Singapore again. You may also face penalties such as fines and imprisonment if caught engaging with unlicensed remittance agents or moneylenders. It is important to use only licensed online remittance services, mobile apps, and remittance kiosks to avoid such penalties.",0.9409567882360643,0.6102391970590161
What should I do if I receive a call or text message from an unfamiliar phone number who says they are from government agencies such as MOM or the police?,"Should you receive such a call, it is likely to be a phishing scam whereby someone pretends to be someone they are not in order to access sensitive information such as your bank account details. Do not click on links in unsolicited text messages and emails. If you need to access your bank account, use the official app or type in your bank's web address into your web browser to ensure that you are navigating to the official website. You may visit the following link for more information on how to protect yourself in these situations: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/publications-and-resources/staying-safe-from-scams","If you receive a call or text message from an unfamiliar phone number claiming to be from government agencies such as MOM or the police, it is essential to verify their identity. Here's what you can do:

1. Do not provide any sensitive information (e.g., your full name, ID number, bank account details) over the call or text message.
2. Hang up and try to contact the agency directly using the official phone numbers provided in the context information, such as 6438 5122 for MOM or 999 for emergencies.
3. If possible, avoid engaging with them further over the call or text message. Instead, wait for a follow-up call or message from the official number of the agency to confirm their identity and purpose for contacting you.
4. Be cautious about any requests for immediate action or payments. Official agencies will usually not ask for sensitive information or money over phone calls or text messages.
5. If you suspect the call or text message is fraudulent, report it to the authorities or your employer immediately.",0.8846606465519383,0.22116516163798458
How can I keep updated with the latest rules and regulations in Singapore?,You may visit official websites such as www.gov.sg and www.mom.gov.sg for the latest updates to the rules and regulations in Singapore. Alternatively you may access the myMOM portal for regular updates as well.,"If you receive a call or text message from an unfamiliar phone number claiming to be from government agencies such as MOM or the police, it is essential to verify their identity. Here's what you can do:

1. Do not provide any sensitive information (e.g., your full name, ID number, bank account details) over the call or text message.
2. Hang up and try to contact the agency directly using the official phone numbers provided in the context information, such as 6438 5122 for MOM or 999 for emergencies.
3. If possible, avoid engaging with them further over the call or text message. Instead, wait for a follow-up call or message from the official number of the agency to confirm their identity and purpose for contacting you.
4. Be cautious about any requests for immediate action or payments. Official agencies will usually not ask for sensitive information or money over phone calls or text messages.
5. If you suspect the call or text message is fraudulent, report it to the authorities or your employer immediately.
Enter a prompt (q to quit):How can I keep updated with the latest rules and regulations in Singapore?
 Visit www.mom.gov.sg for more information on employment-related matters during your stay in Singapore. This website is the Ministry of Manpower (MOM) and their center provides help to migrant workers experiencing any employment-related issues. It's also recommended to download the FWMOMCare mobile app to monitor your health status, including a 24/7 telemedicine service.",0.8715323110351214,0.3678830777587804
Where can I go for help if I have financial difficulties?,"You may visit the following channels if you are facing financial difficulties. 
Credit Counselling Singapore: 6225-5227 (www.ccs.org.sg) 
National Council on Problem Gambling: 1800-6-668-668 (www.ncpg.org.sg) 
ComCare: 1800-222-0000 (www.msf.gov.sg/comcare)"," If you receive a call or text message from an unfamiliar phone number claiming to be from government agencies such as MOM or the police, it is essential to verify their identity. Here's what you can do:

1. Do not provide any sensitive information (e.g., your full name, ID number, bank account details) over the call or text message.
2. Hang up and try to contact the agency directly using the official phone numbers provided in the context information, such as 6438 5122 for MOM or 999 for emergencies.
3. If possible, avoid engaging with them further over the call or text message. Instead, wait for a follow-up call or message from the official number of the agency to confirm their identity and purpose for contacting you.
4. Be cautious about any requests for immediate action or payments. Official agencies will usually not ask for sensitive information or money over phone calls or text messages.
5. If you suspect the call or text message is fraudulent, report it to the authorities or your employer immediately.
Enter a prompt (q to quit):How can I keep updated with the latest rules and regulations in Singapore?
 Visit www.mom.gov.sg for more information on employment-related matters during your stay in Singapore. This website is the Ministry of Manpower (MOM) and their center provides help to migrant workers experiencing any employment-related issues. It's also recommended to download the FWMOMCare mobile app to monitor your health status, including a 24/7 telemedicine service.
Enter a prompt (q to quit):Where can I go for help if I have financial difficulties?
 If you have financial difficulties, you can approach your employer to discuss what can be done. Additionally, you can contact the Migrant Workers’ Centre (MWC) at 6536 2692 for advice.",0.8214451885602275,0.20536129714005688
What happens if I am caught littering?,"If you are caught littering, you will be fined $300 for the first offence and $600 per offence thereafter","If you are caught littering in Singapore, you may face a fine of up to $2,000, with increased fines for repeat offenders.",0.9105326119186399,0.22763315297965997
Are there restrictions on drinking alcohol outside?,"You may buy and drink alcohol outside anytime except for the hours between 10:30pm to 7am daily. You may visit this link for more information on the matter: https://www.mha.gov.sg/docs/default-source/media-room-doc/annexestothepressreleaseonfirstreadingofliquorcontrolsupplyandconsumptionbill.pdf?sfvrsn=d9df36e2_0#:~:text=Under%20the%20new%20Bill%2C%20the,of%20liquor%20in%20public%20places.

https://www.3mk.sg/blogs/three-musketeers-liquor-blog/drinking-laws-in-singapore-2023","Yes, in Singapore, there are restrictions on drinking alcohol outside. This applies especially during prohibited hours and in public areas that are not licensed outlets like coffee shops. Drinking alcohol outside these venues is against the law. For more information about the liquor laws, please visit [www.mha.gov.sg](http://www.mha.gov.sg).",0.9172010992515214,0.41680027481288034
How to help my friend who got scammed?,You may visit the Ant-Scam Resource Guide for information or access scamshield on how to get help for people who have been scammed,"If your friend has been scammed, advise them to approach the police immediately by calling '999' or 1800 255 0000. They should also inform their employer about the situation. Additionally, they can seek help from the Migrant Workers’ Centre (MWC) at 6536 2692 for further assistance. It is crucial that they do not respond to any messages or offers from unlicensed moneylenders, as this may be considered involvement in their illegal activities. If your friend continues to engage with unlicensed moneylenders, their work permit may be revoked and they will not be allowed to work in Singapore again.",0.8020283123501004,0.2005070780875251
How can I go around Singapore by myself?,You may use the ez-link card to take bus or the train (MRT). These can be purchased from convenience stores like 7-11 or the MRT stations and you can top up your card using the machines at the MRT stations. For more information you may refer to this link: https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf,"To travel independently in Singapore, you can use several types of public transport such as buses, Mass Rapid Transit (MRT), Light Rail Transit (LRT), taxis, and private hire vehicles. Here's how to do it with an EZ-Link card:

1. Purchase an EZ-Link card at MRT stations or bus interchanges. This card will allow you to travel by bus, MRT, and LRT.

2. Top up your EZ-Link card at ticket machines located at MRT stations and bus interchanges. You can top up using your bank ATM card.

3. Details of bus and train routes and fares are displayed at bus stops, MRT, and LRT stations.

4. When traveling on buses or trains, be considerate to fellow passengers: queue up while waiting to board, give up your seat to someone who needs it more, move in when standing, let others alight before boarding, and put your bag down so that others have more room to move.",0.9457590870983431,0.6114397717745857
